,t,o,h,l,c,v,symbol
0,1579617000,1479.205,1482.34,1471.82,1472.9,9247,GOOG
1,1579617900,1475.03,1477.85,1472.15,1474.68,3144,GOOG
2,1579618800,1473.2,1475.77,1473.2,1475.0,5412,GOOG
3,1579619700,1475.3,1481.37,1474.13,1481.37,3196,GOOG
4,1579620600,1481.98,1482.74,1480.55,1480.55,8080,GOOG
5,1579621500,1480.63,1480.63,1476.15,1476.55,3253,GOOG
6,1579622400,1476.015,1479.31,1476.015,1479.14,2294,GOOG
7,1579623300,1479.685,1480.46,1479.43,1479.85,2591,GOOG
8,1579624200,1480.91,1482.79,1480.91,1481.87,1570,GOOG
9,1579625100,1481.71,1482.0,1479.69,1482.0,2685,GOOG
10,1579626000,1481.52,1485.03,1481.52,1482.79,3771,GOOG
11,1579626900,1481.87,1485.43,1481.87,1485.24,1191,GOOG
12,1579627800,1484.755,1485.35,1484.395,1485.0,2677,GOOG
13,1579628700,1485.3,1486.72,1485.3,1486.48,1860,GOOG
14,1579629600,1487.57,1491.09,1487.57,1491.09,3703,GOOG
15,1579630500,1491.4,1491.4,1486.01,1486.42,978,GOOG
16,1579631400,1484.43,1484.43,1482.63,1483.75,5555,GOOG
17,1579632300,1483.98,1484.23,1481.24,1482.3,2064,GOOG
18,1579633200,1480.54,1483.35,1480.54,1483.05,2137,GOOG
19,1579634100,1482.63,1483.2,1480.81,1480.95,1263,GOOG
20,1579635000,1481.74,1482.33,1480.955,1482.22,1014,GOOG
21,1579635900,1482.255,1482.81,1481.36,1482.7,2868,GOOG
22,1579636800,1482.34,1484.98,1482.34,1484.92,7363,GOOG
23,1579637700,1484.79,1485.99,1484.46,1485.13,4472,GOOG
24,1579638600,1485.31,1486.88,1484.795,1485.91,7447,GOOG
25,1579639500,1485.845,1486.13,1483.01,1485.23,25929,GOOG
0,1579617000,1479.205,1482.34,1471.82,1472.9,9247,GOOG
1,1579617900,1475.03,1477.85,1472.15,1474.68,3144,GOOG
2,1579618800,1473.2,1475.77,1473.2,1475.0,5412,GOOG
3,1579619700,1475.3,1481.37,1474.13,1481.37,3196,GOOG
4,1579620600,1481.98,1482.74,1480.55,1480.55,8080,GOOG
5,1579621500,1480.63,1480.63,1476.15,1476.55,3253,GOOG
6,1579622400,1476.015,1479.31,1476.015,1479.14,2294,GOOG
7,1579623300,1479.685,1480.46,1479.43,1479.85,2591,GOOG
8,1579624200,1480.91,1482.79,1480.91,1481.87,1570,GOOG
9,1579625100,1481.71,1482.0,1479.69,1482.0,2685,GOOG
10,1579626000,1481.52,1485.03,1481.52,1482.79,3771,GOOG
11,1579626900,1481.87,1485.43,1481.87,1485.24,1191,GOOG
12,1579627800,1484.755,1485.35,1484.395,1485.0,2677,GOOG
13,1579628700,1485.3,1486.72,1485.3,1486.48,1860,GOOG
14,1579629600,1487.57,1491.09,1487.57,1491.09,3703,GOOG
15,1579630500,1491.4,1491.4,1486.01,1486.42,978,GOOG
16,1579631400,1484.43,1484.43,1482.63,1483.75,5555,GOOG
17,1579632300,1483.98,1484.23,1481.24,1482.3,2064,GOOG
18,1579633200,1480.54,1483.35,1480.54,1483.05,2137,GOOG
19,1579634100,1482.63,1483.2,1480.81,1480.95,1263,GOOG
20,1579635000,1481.74,1482.33,1480.955,1482.22,1014,GOOG
21,1579635900,1482.255,1482.81,1481.36,1482.7,2868,GOOG
22,1579636800,1482.34,1484.98,1482.34,1484.92,7363,GOOG
23,1579637700,1484.79,1485.99,1484.46,1485.13,4472,GOOG
24,1579638600,1485.31,1486.88,1484.795,1485.91,7447,GOOG
25,1579639500,1485.845,1486.13,1483.01,1485.23,25929,GOOG
0,1581345000,1476.975,1488.86,1476.975,1488.86,6114,GOOG
1,1581345900,1488.75,1491.345,1485.79,1491.345,3333,GOOG
2,1581346800,1491.23,1498.02,1490.88,1496.5,5113,GOOG
3,1581347700,1497.14,1500.25,1496.7,1499.04,6075,GOOG
4,1581348600,1498.45,1500.41,1498.01,1499.99,2630,GOOG
5,1581349500,1499.38,1499.66,1493.52,1493.71,1340,GOOG
6,1581350400,1493.37,1495.08,1492.81,1493.14,2190,GOOG
7,1581351300,1494.25,1496.85,1494.25,1496.85,981,GOOG
8,1581352200,1497.685,1499.615,1497.36,1499.07,1860,GOOG
9,1581353100,1499.04,1500.72,1498.2,1498.2,450,GOOG
10,1581354000,1498.01,1498.18,1497.48,1498.06,950,GOOG
11,1581354900,1498.23,1498.23,1496.36,1496.74,1244,GOOG
12,1581355800,1498.32,1498.62,1496.56,1497.4,1173,GOOG
13,1581356700,1497.7,1497.92,1496.605,1496.875,1015,GOOG
14,1581357600,1497.3,1497.45,1496.33,1497.45,1236,GOOG
15,1581358500,1498.99,1498.99,1498.5,1498.61,1182,GOOG
16,1581359400,1498.89,1499.46,1498.7,1499.29,911,GOOG
17,1581360300,1500.01,1500.19,1499.23,1499.855,1513,GOOG
18,1581361200,1499.55,1499.58,1499.03,1499.17,1004,GOOG
19,1581362100,1499.78,1500.0,1499.62,1499.62,724,GOOG
20,1581363000,1499.46,1500.21,1499.0,1499.48,1278,GOOG
21,1581363900,1499.255,1500.37,1499.255,1500.37,624,GOOG
22,1581364800,1500.24,1502.41,1499.74,1502.01,1426,GOOG
23,1581365700,1502.48,1502.68,1501.81,1502.4,1493,GOOG
24,1581366600,1504.14,1504.57,1503.43,1504.41,1481,GOOG
25,1581367500,1505.19,1509.39,1504.095,1508.32,7195,GOOG
0,1581345000,1476.975,1488.86,1476.975,1488.86,6114,GOOG
1,1581345900,1488.75,1491.345,1485.79,1491.345,3333,GOOG
2,1581346800,1491.23,1498.02,1490.88,1496.5,5113,GOOG
3,1581347700,1497.14,1500.25,1496.7,1499.04,6075,GOOG
4,1581348600,1498.45,1500.41,1498.01,1499.99,2630,GOOG
5,1581349500,1499.38,1499.66,1493.52,1493.71,1340,GOOG
6,1581350400,1493.37,1495.08,1492.81,1493.14,2190,GOOG
7,1581351300,1494.25,1496.85,1494.25,1496.85,981,GOOG
8,1581352200,1497.685,1499.615,1497.36,1499.07,1860,GOOG
9,1581353100,1499.04,1500.72,1498.2,1498.2,450,GOOG
10,1581354000,1498.01,1498.18,1497.48,1498.06,950,GOOG
11,1581354900,1498.23,1498.23,1496.36,1496.74,1244,GOOG
12,1581355800,1498.32,1498.62,1496.56,1497.4,1173,GOOG
13,1581356700,1497.7,1497.92,1496.605,1496.875,1015,GOOG
14,1581357600,1497.3,1497.45,1496.33,1497.45,1236,GOOG
15,1581358500,1498.99,1498.99,1498.5,1498.61,1182,GOOG
16,1581359400,1498.89,1499.46,1498.7,1499.29,911,GOOG
17,1581360300,1500.01,1500.19,1499.23,1499.855,1513,GOOG
18,1581361200,1499.55,1499.58,1499.03,1499.17,1004,GOOG
19,1581362100,1499.78,1500.0,1499.62,1499.62,724,GOOG
20,1581363000,1499.46,1500.21,1499.0,1499.48,1278,GOOG
21,1581363900,1499.255,1500.37,1499.255,1500.37,624,GOOG
22,1581364800,1500.24,1502.41,1499.74,1502.01,1426,GOOG
23,1581365700,1502.48,1502.68,1501.81,1502.4,1493,GOOG
24,1581366600,1504.14,1504.57,1503.43,1504.41,1481,GOOG
25,1581367500,1505.19,1509.39,1504.095,1508.32,7195,GOOG
0,1588252500,1327.31,1327.31,1327.31,1327.31,600,GOOG
1,1588253400,1328.69,1334.7,1326.785,1334.7,12962,GOOG
2,1588254300,1337.53,1346.97,1337.25,1344.27,13052,GOOG
3,1588255200,1343.45,1346.21,1339.17,1343.41,13356,GOOG
4,1588256100,1343.32,1343.32,1337.42,1339.57,3126,GOOG
5,1588257000,1339.52,1339.9,1327.97,1328.02,4656,GOOG
6,1588257900,1328.18,1330.26,1328.18,1329.28,1502,GOOG
7,1588258800,1331.62,1333.63,1331.4,1332.89,1448,GOOG
8,1588259700,1332.33,1332.33,1328.38,1329.315,2724,GOOG
9,1588260600,1330.12,1330.57,1328.97,1328.97,1496,GOOG
10,1588261500,1328.59,1328.71,1325.1,1325.1,4918,GOOG
11,1588262400,1325.39,1329.22,1322.87,1329.12,7168,GOOG
12,1588263300,1329.215,1329.4,1327.58,1328.03,4198,GOOG
13,1588264200,1327.0,1327.155,1324.96,1325.52,3094,GOOG
14,1588265100,1324.19,1330.005,1324.19,1330.005,4906,GOOG
15,1588266000,1330.55,1334.37,1330.55,1334.37,2132,GOOG
16,1588266900,1334.26,1334.26,1332.03,1332.71,6268,GOOG
17,1588267800,1330.32,1330.46,1326.92,1326.92,2242,GOOG
18,1588268700,1328.59,1331.62,1328.12,1329.46,10862,GOOG
19,1588269600,1329.03,1334.13,1327.99,1334.13,7744,GOOG
20,1588270500,1333.61,1333.95,1332.5,1332.85,8804,GOOG
21,1588271400,1333.22,1333.34,1328.95,1328.95,6758,GOOG
22,1588272300,1328.89,1330.4,1328.4,1328.75,5548,GOOG
23,1588273200,1328.74,1332.39,1328.74,1332.39,4348,GOOG
24,1588274100,1335.09,1338.11,1335.02,1338.05,4104,GOOG
25,1588275000,1338.74,1338.79,1332.54,1332.75,6710,GOOG
26,1588275900,1334.04,1352.73,1332.66,1347.18,25850,GOOG
0,1588252500,1327.31,1327.31,1327.31,1327.31,600,GOOG
1,1588253400,1328.69,1334.7,1326.785,1334.7,12962,GOOG
2,1588254300,1337.53,1346.97,1337.25,1344.27,13052,GOOG
3,1588255200,1343.45,1346.21,1339.17,1343.41,13356,GOOG
4,1588256100,1343.32,1343.32,1337.42,1339.57,3126,GOOG
5,1588257000,1339.52,1339.9,1327.97,1328.02,4656,GOOG
6,1588257900,1328.18,1330.26,1328.18,1329.28,1502,GOOG
7,1588258800,1331.62,1333.63,1331.4,1332.89,1448,GOOG
8,1588259700,1332.33,1332.33,1328.38,1329.315,2724,GOOG
9,1588260600,1330.12,1330.57,1328.97,1328.97,1496,GOOG
10,1588261500,1328.59,1328.71,1325.1,1325.1,4918,GOOG
11,1588262400,1325.39,1329.22,1322.87,1329.12,7168,GOOG
12,1588263300,1329.215,1329.4,1327.58,1328.03,4198,GOOG
13,1588264200,1327.0,1327.155,1324.96,1325.52,3094,GOOG
14,1588265100,1324.19,1330.005,1324.19,1330.005,4906,GOOG
15,1588266000,1330.55,1334.37,1330.55,1334.37,2132,GOOG
16,1588266900,1334.26,1334.26,1332.03,1332.71,6268,GOOG
17,1588267800,1330.32,1330.46,1326.92,1326.92,2242,GOOG
18,1588268700,1328.59,1331.62,1328.12,1329.46,10862,GOOG
19,1588269600,1329.03,1334.13,1327.99,1334.13,7744,GOOG
20,1588270500,1333.61,1333.95,1332.5,1332.85,8804,GOOG
21,1588271400,1333.22,1333.34,1328.95,1328.95,6758,GOOG
22,1588272300,1328.89,1330.4,1328.4,1328.75,5548,GOOG
23,1588273200,1328.74,1332.39,1328.74,1332.39,4348,GOOG
24,1588274100,1335.09,1338.11,1335.02,1338.05,4104,GOOG
25,1588275000,1338.74,1338.79,1332.54,1332.75,6710,GOOG
26,1588275900,1334.04,1352.73,1332.66,1347.18,25850,GOOG
0,1589981400,1389.64,1393.64,1388.26,1393.64,3078,GOOG
1,1589982300,1395.93,1402.9,1395.93,1402.63,2560,GOOG
2,1589983200,1403.745,1405.57,1402.49,1405.495,4221,GOOG
3,1589984100,1404.455,1404.59,1397.81,1399.14,4082,GOOG
4,1589985000,1397.655,1402.36,1396.38,1402.36,2658,GOOG
5,1589985900,1401.35,1401.535,1395.07,1397.3,2417,GOOG
6,1589986800,1399.97,1401.99,1399.71,1400.29,2439,GOOG
7,1589987700,1401.37,1403.72,1401.23,1403.72,1789,GOOG
