,t,o,h,l,c,v,symbol
0,1579617000,317.26,318.1,316.65,317.8,74087,AAPL
1,1579617900,317.69,318.85,317.69,318.18,27983,AAPL
2,1579618800,318.26,318.935,317.84,317.98,44983,AAPL
3,1579619700,317.955,318.06,317.1,317.725,153982,AAPL
4,1579620600,317.715,318.165,317.52,317.95,19416,AAPL
5,1579621500,317.87,317.9,317.34,317.35,23780,AAPL
6,1579622400,317.32,318.15,317.305,318.09,56046,AAPL
7,1579623300,318.13,318.59,318.13,318.46,12796,AAPL
8,1579624200,318.59,318.95,318.54,318.61,31151,AAPL
9,1579625100,318.645,318.7,318.32,318.48,15605,AAPL
10,1579626000,318.47,318.47,317.92,318.05,11125,AAPL
11,1579626900,318.14,318.33,317.9,318.23,9140,AAPL
12,1579627800,318.26,318.45,318.08,318.08,32473,AAPL
13,1579628700,318.01,318.13,317.845,317.96,17302,AAPL
14,1579629600,318.0,318.17,317.86,317.94,12269,AAPL
15,1579630500,317.92,317.92,317.24,317.69,16120,AAPL
16,1579631400,317.61,317.71,316.72,317.055,29691,AAPL
17,1579632300,317.025,317.17,316.45,316.56,23185,AAPL
18,1579633200,316.45,317.24,316.43,317.12,22063,AAPL
19,1579634100,317.03,317.15,316.41,316.59,31790,AAPL
20,1579635000,316.58,316.73,316.28,316.56,16664,AAPL
21,1579635900,316.57,316.99,316.31,316.87,12486,AAPL
22,1579636800,316.89,317.22,316.87,316.87,21065,AAPL
23,1579637700,316.89,317.0,316.64,316.88,8635,AAPL
24,1579638600,316.79,317.02,316.39,316.56,24755,AAPL
25,1579639500,316.54,316.73,316.02,316.59,54316,AAPL
26,1579612500,1860.85,1860.97,1860.85,1860.97,200,AMZN
27,1579617000,1864.99,1869.98,1862.36,1865.13,11794,AMZN
28,1579617900,1863.47,1871.77,1863.47,1869.82,4949,AMZN
29,1579618800,1869.955,1870.09,1867.91,1869.035,5391,AMZN
30,1579619700,1868.585,1871.47,1868.435,1871.47,2665,AMZN
31,1579620600,1871.69,1874.97,1871.62,1872.73,4305,AMZN
32,1579621500,1872.82,1873.56,1869.87,1869.87,1261,AMZN
33,1579622400,1870.0,1872.69,1869.89,1872.1,2102,AMZN
34,1579623300,1872.9,1874.91,1872.9,1873.695,2202,AMZN
35,1579624200,1875.4,1875.4,1873.26,1873.26,2342,AMZN
36,1579625100,1872.91,1873.2,1872.74,1872.99,784,AMZN
37,1579626000,1873.3,1874.13,1872.015,1872.015,1010,AMZN
38,1579626900,1871.55,1871.63,1870.5,1871.07,2553,AMZN
39,1579627800,1870.2,1871.015,1870.155,1870.155,528,AMZN
40,1579628700,1869.665,1871.39,1869.665,1871.08,1930,AMZN
41,1579629600,1871.46,1872.09,1870.83,1870.83,1669,AMZN
42,1579630500,1870.335,1870.49,1866.26,1867.23,3148,AMZN
43,1579631400,1865.52,1865.52,1863.16,1863.23,996,AMZN
44,1579632300,1864.77,1864.98,1861.99,1862.3,1852,AMZN
45,1579633200,1861.23,1865.88,1861.06,1865.115,1760,AMZN
46,1579634100,1865.095,1867.66,1865.095,1867.66,7343,AMZN
47,1579635000,1867.2,1868.67,1866.72,1868.1,3489,AMZN
48,1579635900,1868.25,1869.24,1867.4,1869.24,1340,AMZN
49,1579636800,1869.66,1883.1,1869.64,1880.905,11966,AMZN
50,1579637700,1880.0,1886.65,1879.04,1886.65,9153,AMZN
51,1579638600,1886.65,1888.82,1884.58,1888.71,8830,AMZN
52,1579639500,1888.99,1894.27,1888.99,1892.44,22730,AMZN
53,1579641300,1890.52,1890.52,1890.52,1890.52,100,AMZN
54,1579616100,47.21,47.39,47.21,47.39,211,CMCSA
55,1579617000,47.435,47.47,46.98,47.02,86771,CMCSA
56,1579617900,47.03,47.075,46.84,46.85,51753,CMCSA
57,1579618800,46.84,47.105,46.79,47.105,149653,CMCSA
58,1579619700,47.11,47.11,46.955,47.1,68681,CMCSA
59,1579620600,47.095,47.155,47.07,47.155,53439,CMCSA
60,1579621500,47.155,47.155,47.08,47.08,55999,CMCSA
61,1579622400,47.06,47.07,47.025,47.04,48027,CMCSA
62,1579623300,47.03,47.105,47.02,47.03,68030,CMCSA
63,1579624200,47.03,47.04,46.955,46.99,51560,CMCSA
64,1579625100,46.99,47.1,46.98,47.09,140386,CMCSA
65,1579626000,47.09,47.13,47.05,47.085,35244,CMCSA
66,1579626900,47.085,47.185,47.08,47.15,116734,CMCSA
67,1579627800,47.165,47.165,47.09,47.09,22799,CMCSA
68,1579628700,47.09,47.155,47.07,47.145,27639,CMCSA
69,1579629600,47.145,47.16,47.11,47.12,22993,CMCSA
70,1579630500,47.115,47.18,47.07,47.17,50196,CMCSA
71,1579631400,47.165,47.175,47.06,47.12,31940,CMCSA
72,1579632300,47.13,47.165,47.08,47.155,29503,CMCSA
73,1579633200,47.15,47.24,47.14,47.24,31857,CMCSA
74,1579634100,47.24,47.28,47.24,47.27,26477,CMCSA
75,1579635000,47.27,47.35,47.26,47.325,72993,CMCSA
76,1579635900,47.325,47.35,47.255,47.325,41899,CMCSA
77,1579636800,47.32,47.41,47.3,47.41,71847,CMCSA
78,1579637700,47.41,47.43,47.33,47.34,78913,CMCSA
79,1579638600,47.34,47.36,47.29,47.335,93195,CMCSA
80,1579639500,47.33,47.36,47.27,47.3,281476,CMCSA
81,1579617000,144.33,144.59,143.78,143.83,15668,DIS
82,1579617900,143.79,144.16,143.77,143.82,15852,DIS
83,1579618800,143.795,143.945,143.62,143.62,21304,DIS
84,1579619700,143.64,143.79,143.535,143.72,11304,DIS
85,1579620600,143.75,143.78,143.145,143.22,11341,DIS
86,1579621500,143.195,143.32,143.04,143.06,27503,DIS
87,1579622400,143.02,143.53,143.01,143.46,20870,DIS
88,1579623300,143.43,143.7,143.36,143.36,12147,DIS
89,1579624200,143.395,143.66,143.305,143.64,12012,DIS
90,1579625100,143.61,143.92,143.575,143.72,7270,DIS
91,1579626000,143.75,143.85,143.65,143.755,9224,DIS
92,1579626900,143.76,143.77,143.62,143.695,5358,DIS
93,1579627800,143.69,143.86,143.655,143.7,9896,DIS
94,1579628700,143.705,144.01,143.705,143.97,7243,DIS
95,1579629600,143.98,144.05,143.915,144.03,7453,DIS
96,1579630500,144.03,144.15,143.625,143.63,11559,DIS
97,1579631400,143.57,143.57,143.16,143.33,24466,DIS
98,1579632300,143.37,143.54,143.15,143.155,9242,DIS
99,1579633200,143.15,143.48,143.13,143.45,9863,DIS
100,1579634100,143.42,143.47,143.225,143.23,9798,DIS
101,1579635000,143.24,143.4,143.19,143.34,11420,DIS
102,1579635900,143.34,143.39,143.26,143.31,5982,DIS
103,1579636800,143.29,143.53,143.25,143.53,8597,DIS
104,1579637700,143.545,143.56,143.37,143.53,11402,DIS
105,1579638600,143.515,143.72,143.32,143.4,9834,DIS
106,1579639500,143.38,143.53,143.23,143.53,107627,DIS
107,1579617000,1479.205,1482.34,1471.82,1472.9,9247,GOOG
108,1579617900,1475.03,1477.85,1472.15,1474.68,3144,GOOG
109,1579618800,1473.2,1475.77,1473.2,1475.0,5412,GOOG
110,1579619700,1475.3,1481.37,1474.13,1481.37,3196,GOOG
111,1579620600,1481.98,1482.74,1480.55,1480.55,8080,GOOG
112,1579621500,1480.63,1480.63,1476.15,1476.55,3253,GOOG
113,1579622400,1476.015,1479.31,1476.015,1479.14,2294,GOOG
114,1579623300,1479.685,1480.46,1479.43,1479.85,2591,GOOG
115,1579624200,1480.91,1482.79,1480.91,1481.87,1570,GOOG
116,1579625100,1481.71,1482.0,1479.69,1482.0,2685,GOOG
117,1579626000,1481.52,1485.03,1481.52,1482.79,3771,GOOG
118,1579626900,1481.87,1485.43,1481.87,1485.24,1191,GOOG
119,1579627800,1484.755,1485.35,1484.395,1485.0,2677,GOOG
120,1579628700,1485.3,1486.72,1485.3,1486.48,1860,GOOG
121,1579629600,1487.57,1491.09,1487.57,1491.09,3703,GOOG
122,1579630500,1491.4,1491.4,1486.01,1486.42,978,GOOG
123,1579631400,1484.43,1484.43,1482.63,1483.75,5555,GOOG
124,1579632300,1483.98,1484.23,1481.24,1482.3,2064,GOOG
125,1579633200,1480.54,1483.35,1480.54,1483.05,2137,GOOG
126,1579634100,1482.63,1483.2,1480.81,1480.95,1263,GOOG
127,1579635000,1481.74,1482.33,1480.955,1482.22,1014,GOOG
128,1579635900,1482.255,1482.81,1481.36,1482.7,2868,GOOG
129,1579636800,1482.34,1484.98,1482.34,1484.92,7363,GOOG
130,1579637700,1484.79,1485.99,1484.46,1485.13,4472,GOOG
131,1579638600,1485.31,1486.88,1484.795,1485.91,7447,GOOG
132,1579639500,1485.845,1486.13,1483.01,1485.23,25929,GOOG
133,1579617000,38.39,38.52,38.25,38.28,73407,T
134,1579617900,38.28,38.32,38.185,38.23,73245,T
135,1579618800,38.22,38.31,38.18,38.23,75680,T
136,1579619700,38.235,38.31,38.215,38.31,57641,T
137,1579620600,38.3,38.36,38.27,38.36,48551,T
138,1579621500,38.35,38.36,38.29,38.34,51335,T
139,1579622400,38.34,38.38,38.33,38.36,73192,T
140,1579623300,38.355,38.43,38.355,38.405,55561,T
141,1579624200,38.41,38.48,38.395,38.445,55268,T
142,1579625100,38.44,38.465,38.41,38.45,39588,T
143,1579626000,38.455,38.46,38.41,38.44,39096,T
144,1579626900,38.44,38.5,38.42,38.47,36109,T
145,1579627800,38.47,38.55,38.47,38.53,47982,T
146,1579628700,38.525,38.55,38.5,38.55,35024,T
147,1579629600,38.55,38.56,38.54,38.56,30455,T
148,1579630500,38.56,38.585,38.54,38.58,37249,T
149,1579631400,38.575,38.58,38.51,38.53,37375,T
150,1579632300,38.535,38.54,38.48,38.48,60343,T
151,1579633200,38.49,38.565,38.48,38.565,45682,T
152,1579634100,38.565,38.59,38.555,38.585,46087,T
153,1579635000,38.58,38.6,38.57,38.59,37935,T
154,1579635900,38.59,38.63,38.57,38.61,45512,T
155,1579636800,38.615,38.64,38.6,38.62,57313,T
156,1579637700,38.62,38.63,38.58,38.59,78377,T
157,1579638600,38.59,38.59,38.52,38.53,76467,T
158,1579639500,38.52,38.55,38.47,38.51,309389,T
159,1579617000,81.95,82.03,81.82,81.94,9466,TMUS
160,1579617900,81.91,81.96,81.8,81.88,5243,TMUS
161,1579618800,81.9,82.1,81.9,82.1,2215,TMUS
162,1579619700,82.09,82.1,82.06,82.08,4055,TMUS
163,1579620600,82.18,82.31,82.18,82.23,2030,TMUS
164,1579621500,82.32,82.365,82.29,82.34,1722,TMUS
165,1579622400,82.4,82.43,82.34,82.43,1255,TMUS
166,1579623300,82.39,82.51,82.39,82.51,572,TMUS
167,1579624200,82.51,82.55,82.33,82.55,3998,TMUS
168,1579625100,82.49,82.59,82.49,82.57,1778,TMUS
169,1579626000,82.57,82.61,82.57,82.57,726,TMUS
170,1579626900,82.61,82.61,82.59,82.61,687,TMUS
171,1579627800,82.62,82.675,82.62,82.64,1119,TMUS
172,1579628700,82.66,82.76,82.66,82.76,1584,TMUS
173,1579629600,82.83,82.92,82.82,82.88,17338,TMUS
174,1579630500,82.84,82.92,82.62,82.92,14225,TMUS
175,1579631400,82.79,82.79,82.62,82.68,2415,TMUS
176,1579632300,82.77,82.84,82.72,82.79,19036,TMUS
177,1579633200,82.795,82.795,82.51,82.58,4682,TMUS
178,1579634100,82.62,82.66,82.57,82.57,4670,TMUS
179,1579635000,82.6,82.635,82.555,82.6,3384,TMUS
180,1579635900,82.575,82.615,82.55,82.605,2205,TMUS
181,1579636800,82.6,82.62,82.55,82.55,3207,TMUS
182,1579637700,82.51,82.55,82.29,82.3,4884,TMUS
183,1579638600,82.28,82.295,82.02,82.06,13114,TMUS
184,1579639500,82.035,82.07,81.86,82.07,26259,TMUS
185,1579617000,60.22,60.345,60.11,60.13,61070,VZ
186,1579617900,60.13,60.24,60.13,60.2,36765,VZ
187,1579618800,60.205,60.27,60.105,60.115,37506,VZ
188,1579619700,60.115,60.18,60.11,60.18,20680,VZ
189,1579620600,60.195,60.2,60.125,60.165,45675,VZ
190,1579621500,60.185,60.19,60.12,60.155,22869,VZ
